enquiry_id,customer_id,market,language,verdict,gate,answer_id,answer_topic,sent_without_human,draft_reply,decided_at
ENQ-0653,CUS-0581,ID,id,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Pesanan Anda ORD-01501 sedang delivered. Anda dapat melacaknya melalui tautan di email pengiriman. Pesanan ke ID biasanya tiba 3-5 hari kerja setelah dikirim.,2026-09-02T11:44:53Z
ENQ-0664,CUS-0753,MY,en,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"You can pause, change the interval or cancel any time from your account page. Changes made before your renewal date apply to the very next delivery.",2026-09-02T11:44:53Z
ENQ-0678,CUS-0284,SG,en,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0787,CUS-0264,MY,ms,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"Anda boleh menjeda, menukar selang masa atau membatalkan pada bila-bila masa melalui halaman akaun anda. Perubahan sebelum tarikh pembaharuan akan berkuat kuasa pada penghantaran berikutnya.",2026-09-02T11:44:53Z
ENQ-0803,CUS-0687,ID,ms,ASSIST,6-authority,ANS-006,Refund/return,False,Kami boleh membayar balik atau menggantikan ORD-01780. Pek yang belum dibuka boleh dipulangkan dalam tempoh 14 hari. Sila balas dengan gambar dan kami akan uruskan pengambilan tanpa kos.,2026-09-02T11:44:53Z
ENQ-0841,CUS-0443,ID,id,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Pesanan Anda ORD-01140 sedang in transit. Anda dapat melacaknya melalui tautan di email pengiriman. Pesanan ke ID biasanya tiba 3-5 hari kerja setelah dikirim.,2026-09-02T11:44:53Z
ENQ-0013,CUS-0267,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0071,CUS-0531,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0080,CUS-0489,ID,id,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"Anda bisa menjeda, mengubah interval, atau membatalkan kapan saja dari halaman akun. Perubahan sebelum tanggal perpanjangan berlaku untuk pengiriman berikutnya.",2026-09-02T11:44:53Z
ENQ-0102,CUS-0555,SG,en,ASSIST,6-authority,ANS-006,Refund/return,False,We can refund or replace ORD-01430. Unopened packs can be returned within 14 days. Please reply with a photo and we'll arrange collection at no cost to you.,2026-09-02T11:44:53Z
ENQ-0146,CUS-0797,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0165,CUS-0673,MY,ms,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0181,CUS-0281,ID,en,ASSIST,5-evidence,ANS-007,Damaged item,False,,2026-09-02T11:44:53Z
ENQ-0217,CUS-0361,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0225,CUS-0373,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0265,CUS-0596,ID,en,ASSIST,5-evidence,ANS-007,Damaged item,False,,2026-09-02T11:44:53Z
ENQ-0368,CUS-0317,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0420,CUS-0363,ID,id,AUTO_ANSWER,0-self-serve,ANS-001,Delivery delay,True,"Kami mohon maaf atas keterlambatan ini. ORD-00935 tercatat tertunda di kurir. Jika belum tiba dalam 3 hari kerja, kami akan mengirimkan penggantinya tanpa biaya.",2026-09-02T11:44:53Z
ENQ-0492,CUS-0622,MY,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0552,CUS-0147,ID,id,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Ukuran newborn cocok hingga 5kg, ukuran S 4-8kg, ukuran M 6-11kg. Jika berat bayi Anda di antara dua ukuran, kami sarankan ambil yang lebih besar - sedikit longgar justru lebih jarang bocor daripada terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0559,CUS-0313,SG,sg,ASSIST,6-authority,ANS-006,Refund/return,False,We can refund or replace ORD-00806. Unopened packs can be returned within 14 days. Please reply with a photo and we'll arrange collection at no cost to you.,2026-09-02T11:44:53Z
ENQ-0578,CUS-0736,SG,en,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0600,CUS-0710,MY,ms,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Saiz newborn sesuai sehingga 5kg, saiz S 4-8kg, saiz M 6-11kg. Jika bayi anda berada di antara dua saiz, kami cadangkan pilih yang lebih besar - muat sedikit longgar kurang bocor berbanding terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0610,CUS-0411,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0672,CUS-0276,MY,en,ASSIST,6-authority,ANS-008,Ingredients,False,"Our pads use a chlorine-free cellulose core with a cotton-blend top sheet. Full ingredient lists are on every product page. If you have a known sensitivity, please speak to a pharmacist before use.",2026-09-02T11:44:53Z
ENQ-0673,CUS-0508,SG,zh,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0675,CUS-0113,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0701,CUS-0716,MY,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0711,CUS-0069,SG,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0717,CUS-0304,ID,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0791,CUS-0433,ID,en,ASSIST,6-authority,ANS-008,Ingredients,False,"Our pads use a chlorine-free cellulose core with a cotton-blend top sheet. Full ingredient lists are on every product page. If you have a known sensitivity, please speak to a pharmacist before use.",2026-09-02T11:44:53Z
ENQ-0801,CUS-0251,ID,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0805,CUS-0416,SG,en,ASSIST,6-authority,ANS-006,Refund/return,False,We can refund or replace ORD-01074. Unopened packs can be returned within 14 days. Please reply with a photo and we'll arrange collection at no cost to you.,2026-09-02T11:44:53Z
ENQ-0818,CUS-0068,SG,en,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Newborn size fits up to 5kg, size S 4-8kg, size M 6-11kg. If your baby is between sizes we suggest going up - a slightly loose fit leaks less than a tight one.",2026-09-02T11:44:53Z
ENQ-0828,CUS-0109,ID,id,AUTO_ANSWER,0-self-serve,ANS-001,Delivery delay,True,"Kami mohon maaf atas keterlambatan ini. ORD-00287 tercatat tertunda di kurir. Jika belum tiba dalam 3 hari kerja, kami akan mengirimkan penggantinya tanpa biaya.",2026-09-02T11:44:53Z
ENQ-0829,CUS-0125,MY,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0009,CUS-0488,MY,en,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Newborn size fits up to 5kg, size S 4-8kg, size M 6-11kg. If your baby is between sizes we suggest going up - a slightly loose fit leaks less than a tight one.",2026-09-02T11:44:53Z
ENQ-0206,CUS-0381,MY,zh,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0250,CUS-0512,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0278,CUS-0556,SG,en,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Newborn size fits up to 5kg, size S 4-8kg, size M 6-11kg. If your baby is between sizes we suggest going up - a slightly loose fit leaks less than a tight one.",2026-09-02T11:44:53Z
ENQ-0314,CUS-0460,MY,zh,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela 在我们的官方商店以及 MY 的零售合作伙伴均有售。我们网站上的门店查询可列出您附近的所有销售点。,2026-09-02T11:44:53Z
ENQ-0422,CUS-0309,MY,ms,ASSIST,6-authority,ANS-007,Damaged item,False,"Kami memohon maaf kerana ORD-00798 tiba dalam keadaan rosak. Sila hantar gambar pek dan kotak luar, dan kami akan menghantar gantian pada hari yang sama.",2026-09-02T11:44:53Z
ENQ-0468,CUS-0600,SG,sg,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0515,CUS-0461,SG,en,ASSIST,5-evidence,ANS-007,Damaged item,False,,2026-09-02T11:44:53Z
ENQ-0535,CUS-0057,MY,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0608,CUS-0447,ID,id,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0690,CUS-0192,SG,zh,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,您可以随时在账户页面暂停、调整周期或取消订阅。在续订日之前所做的更改将于下一次配送生效。,2026-09-02T11:44:53Z
ENQ-0724,CUS-0282,MY,en,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0790,CUS-0758,SG,en,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in SG. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0832,CUS-0244,MY,ms,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela boleh didapati di kedai dalam talian kami dan melalui rakan runcit kami di MY. Pencari kedai di laman web kami menyenaraikan setiap penjual berhampiran anda.,2026-09-02T11:44:53Z
ENQ-0891,CUS-0144,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0014,CUS-0720,MY,ms,AUTO_ANSWER,0-self-serve,ANS-001,Delivery delay,True,"Kami memohon maaf atas kelewatan. ORD-01871 menunjukkan status tertunda dengan kurier. Jika ia tidak tiba dalam 3 hari bekerja, kami akan menghantar gantian tanpa sebarang kos.",2026-09-02T11:44:53Z
ENQ-0038,CUS-0565,SG,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0059,CUS-0407,SG,zh,AUTO_ANSWER,0-self-serve,ANS-001,Delivery delay,True,很抱歉您的订单延误了。ORD-01053 在快递方显示为延迟。如果三个工作日内仍未送达，我们将免费为您补寄。,2026-09-02T11:44:53Z
ENQ-0106,CUS-0357,SG,en,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0123,CUS-0251,ID,en,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in ID. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0130,CUS-0412,SG,en,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Your order ORD-01066 is delivered. You can track it with the link in your dispatch email. Orders to SG usually arrive 3-5 working days after dispatch.,2026-09-02T11:44:53Z
ENQ-0173,CUS-0633,SG,sg,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"You can pause, change the interval or cancel any time from your account page. Changes made before your renewal date apply to the very next delivery.",2026-09-02T11:44:53Z
ENQ-0260,CUS-0497,ID,id,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0264,CUS-0630,SG,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0281,CUS-0034,ID,id,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0335,CUS-0467,SG,sg,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Your order ORD-01201 is delivered. You can track it with the link in your dispatch email. Orders to SG usually arrive 3-5 working days after dispatch.,2026-09-02T11:44:53Z
ENQ-0348,CUS-0566,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0360,CUS-0405,SG,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0383,CUS-0183,SG,sg,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in SG. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0521,CUS-0092,ID,id,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"Anda bisa menjeda, mengubah interval, atau membatalkan kapan saja dari halaman akun. Perubahan sebelum tanggal perpanjangan berlaku untuk pengiriman berikutnya.",2026-09-02T11:44:53Z
ENQ-0533,CUS-0583,MY,en,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Newborn size fits up to 5kg, size S 4-8kg, size M 6-11kg. If your baby is between sizes we suggest going up - a slightly loose fit leaks less than a tight one.",2026-09-02T11:44:53Z
ENQ-0549,CUS-0590,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0597,CUS-0506,MY,ms,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0611,CUS-0343,MY,en,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"You can pause, change the interval or cancel any time from your account page. Changes made before your renewal date apply to the very next delivery.",2026-09-02T11:44:53Z
ENQ-0623,CUS-0424,ID,id,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Ukuran newborn cocok hingga 5kg, ukuran S 4-8kg, ukuran M 6-11kg. Jika berat bayi Anda di antara dua ukuran, kami sarankan ambil yang lebih besar - sedikit longgar justru lebih jarang bocor daripada terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0631,CUS-0794,MY,en,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"You can pause, change the interval or cancel any time from your account page. Changes made before your renewal date apply to the very next delivery.",2026-09-02T11:44:53Z
ENQ-0700,CUS-0561,ID,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0737,CUS-0354,ID,id,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"Anda bisa menjeda, mengubah interval, atau membatalkan kapan saja dari halaman akun. Perubahan sebelum tanggal perpanjangan berlaku untuk pengiriman berikutnya.",2026-09-02T11:44:53Z
ENQ-0783,CUS-0149,ID,id,ASSIST,6-authority,ANS-008,Ingredients,False,"Pembalut kami menggunakan inti selulosa bebas klorin dengan lapisan atas campuran katun. Daftar bahan lengkap ada di setiap halaman produk. Jika Anda memiliki sensitivitas tertentu, mohon konsultasikan dengan apoteker sebelum pemakaian.",2026-09-02T11:44:53Z
ENQ-0819,CUS-0628,MY,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0824,CUS-0554,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0055,CUS-0515,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0086,CUS-0641,MY,ms,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Saiz newborn sesuai sehingga 5kg, saiz S 4-8kg, saiz M 6-11kg. Jika bayi anda berada di antara dua saiz, kami cadangkan pilih yang lebih besar - muat sedikit longgar kurang bocor berbanding terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0099,CUS-0745,ID,id,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0101,CUS-0043,MY,en,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in MY. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0153,CUS-0187,ID,en,ASSIST,6-authority,ANS-006,Refund/return,False,We can refund or replace ORD-00483. Unopened packs can be returned within 14 days. Please reply with a photo and we'll arrange collection at no cost to you.,2026-09-02T11:44:53Z
ENQ-0164,CUS-0443,ID,id,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0196,CUS-0281,ID,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0199,CUS-0403,MY,zh,ASSIST,6-authority,ANS-008,Ingredients,False,我们的卫生巾采用无氯纤维素芯体，表层为棉混纺材质。完整成分表可在每个产品页面查看。如您有已知的过敏史，使用前请先咨询药剂师。,2026-09-02T11:44:53Z
ENQ-0220,CUS-0758,SG,en,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Your order ORD-01962 is delivered. You can track it with the link in your dispatch email. Orders to SG usually arrive 3-5 working days after dispatch.,2026-09-02T11:44:53Z
ENQ-0226,CUS-0598,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0240,CUS-0361,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0252,CUS-0402,SG,en,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Change every 3-4 hours, or sooner if heavy. Store unopened packs somewhere cool and dry. Please don't flush - our pads and liners are not flushable.",2026-09-02T11:44:53Z
ENQ-0274,CUS-0342,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0286,CUS-0503,MY,ms,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Pesanan anda ORD-01294 kini delivered. Anda boleh menjejakinya melalui pautan dalam e-mel penghantaran. Pesanan ke MY biasanya tiba 3-5 hari bekerja selepas dihantar.,2026-09-02T11:44:53Z
ENQ-0318,CUS-0191,SG,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0372,CUS-0081,SG,en,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Your order ORD-00214 is delivered. You can track it with the link in your dispatch email. Orders to SG usually arrive 3-5 working days after dispatch.,2026-09-02T11:44:53Z
ENQ-0374,CUS-0526,MY,ms,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela boleh didapati di kedai dalam talian kami dan melalui rakan runcit kami di MY. Pencari kedai di laman web kami menyenaraikan setiap penjual berhampiran anda.,2026-09-02T11:44:53Z
ENQ-0410,CUS-0087,MY,ms,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0439,CUS-0528,SG,en,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0493,CUS-0286,ID,en,AUTO_ANSWER,0-self-serve,ANS-000,Order status,True,Your order ORD-00750 is delivered. You can track it with the link in your dispatch email. Orders to ID usually arrive 3-5 working days after dispatch.,2026-09-02T11:44:53Z
ENQ-0586,CUS-0590,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0607,CUS-0112,ID,id,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Ganti setiap 3-4 jam, atau lebih cepat bila terasa penuh. Simpan kemasan yang belum dibuka di tempat sejuk dan kering. Mohon jangan dibuang ke kloset - pembalut dan liner kami tidak bisa larut.",2026-09-02T11:44:53Z
ENQ-0676,CUS-0348,SG,en,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in SG. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0705,CUS-0291,SG,zh,ASSIST,6-authority,ANS-008,Ingredients,False,我们的卫生巾采用无氯纤维素芯体，表层为棉混纺材质。完整成分表可在每个产品页面查看。如您有已知的过敏史，使用前请先咨询药剂师。,2026-09-02T11:44:53Z
ENQ-0809,CUS-0608,ID,id,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Ukuran newborn cocok hingga 5kg, ukuran S 4-8kg, ukuran M 6-11kg. Jika berat bayi Anda di antara dua ukuran, kami sarankan ambil yang lebih besar - sedikit longgar justru lebih jarang bocor daripada terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0876,CUS-0408,SG,en,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in SG. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0883,CUS-0285,SG,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0899,CUS-0353,ID,en,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0008,CUS-0513,ID,id,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Ukuran newborn cocok hingga 5kg, ukuran S 4-8kg, ukuran M 6-11kg. Jika berat bayi Anda di antara dua ukuran, kami sarankan ambil yang lebih besar - sedikit longgar justru lebih jarang bocor daripada terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0029,CUS-0324,SG,sg,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Newborn size fits up to 5kg, size S 4-8kg, size M 6-11kg. If your baby is between sizes we suggest going up - a slightly loose fit leaks less than a tight one.",2026-09-02T11:44:53Z
ENQ-0064,CUS-0538,ID,ms,ASSIST,6-authority,ANS-006,Refund/return,False,Kami boleh membayar balik atau menggantikan ORD-01381. Pek yang belum dibuka boleh dipulangkan dalam tempoh 14 hari. Sila balas dengan gambar dan kami akan uruskan pengambilan tanpa kos.,2026-09-02T11:44:53Z
ENQ-0097,CUS-0236,MY,ms,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Tukar setiap 3-4 jam, atau lebih awal jika berat. Simpan pek yang belum dibuka di tempat sejuk dan kering. Jangan buang ke dalam tandas - tuala dan liner kami tidak boleh dipam.",2026-09-02T11:44:53Z
ENQ-0118,CUS-0731,SG,zh,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela 在我们的官方商店以及 SG 的零售合作伙伴均有售。我们网站上的门店查询可列出您附近的所有销售点。,2026-09-02T11:44:53Z
ENQ-0174,CUS-0175,SG,en,AUTO_ANSWER,0-self-serve,ANS-005,Subscription,True,"You can pause, change the interval or cancel any time from your account page. Changes made before your renewal date apply to the very next delivery.",2026-09-02T11:44:53Z
ENQ-0209,CUS-0689,SG,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
