enquiry_id,customer_id,received_at,channel,market,language,topic,sentiment,is_health_issue,contact_seq,order_id,verdict,gate,reason,answer_id,handle_minutes,decided_at
ENQ-0745,CUS-0483,2026-07-26 00:00,Marketplace Q&A,MY,ms,Health complaint,Neutral,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0784,CUS-0210,2026-07-26 00:00,WhatsApp,SG,en,Health complaint,Frustrated,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0791,CUS-0433,2026-07-26 00:00,Instagram DM,ID,en,Ingredients,Neutral,False,1,,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-008,6,2026-08-25T14:24:04Z
ENQ-0801,CUS-0251,2026-07-26 00:00,Email,ID,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0805,CUS-0416,2026-07-26 00:00,Instagram DM,SG,en,Refund/return,Neutral,False,1,ORD-01074,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0818,CUS-0068,2026-07-26 00:00,Email,SG,en,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0828,CUS-0109,2026-07-26 00:00,Marketplace Q&A,ID,id,Delivery delay,Frustrated,False,1,ORD-00287,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-001,1,2026-08-25T14:24:04Z
ENQ-0829,CUS-0125,2026-07-26 00:00,Email,MY,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0009,CUS-0488,2026-07-27 00:00,Email,MY,en,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0206,CUS-0381,2026-07-27 00:00,Instagram DM,MY,zh,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0250,CUS-0512,2026-07-27 00:00,Marketplace Q&A,SG,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0278,CUS-0556,2026-07-27 00:00,Marketplace Q&A,SG,en,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0314,CUS-0460,2026-07-27 00:00,Marketplace Q&A,MY,zh,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in zh, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0422,CUS-0309,2026-07-27 00:00,WhatsApp,MY,ms,Damaged item,Neutral,False,2,ORD-00798,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0468,CUS-0600,2026-07-27 00:00,Website form,SG,sg,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in sg, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0515,CUS-0461,2026-07-27 00:00,WhatsApp,SG,en,Damaged item,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0525,CUS-0507,2026-07-27 00:00,Instagram DM,ID,id,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0535,CUS-0057,2026-07-27 00:00,WhatsApp,MY,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0557,CUS-0585,2026-07-27 00:00,Marketplace Q&A,ID,id,Health complaint,Angry,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0563,CUS-0335,2026-07-27 00:00,WhatsApp,MY,ms,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0608,CUS-0447,2026-07-27 00:00,WhatsApp,ID,id,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0690,CUS-0192,2026-07-27 00:00,WhatsApp,SG,zh,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in zh, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0724,CUS-0282,2026-07-27 00:00,Instagram DM,MY,en,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0725,CUS-0638,2026-07-27 00:00,WhatsApp,MY,ms,Unclassified,Frustrated,False,1,ORD-01643,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0790,CUS-0758,2026-07-27 00:00,Instagram DM,SG,en,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0832,CUS-0244,2026-07-27 00:00,Marketplace Q&A,MY,ms,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0891,CUS-0144,2026-07-27 00:00,Marketplace Q&A,SG,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0014,CUS-0720,2026-07-28 00:00,Website form,MY,ms,Delivery delay,Neutral,False,1,ORD-01871,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-001,1,2026-08-25T14:24:04Z
ENQ-0038,CUS-0565,2026-07-28 00:00,WhatsApp,SG,en,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0044,CUS-0321,2026-07-28 00:00,WhatsApp,MY,ms,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0059,CUS-0407,2026-07-28 00:00,Marketplace Q&A,SG,zh,Delivery delay,Angry,False,1,ORD-01053,AUTO_ANSWER,0-self-serve,"approved answer sent in zh, no human touched it",ANS-001,1,2026-08-25T14:24:04Z
ENQ-0106,CUS-0357,2026-07-28 00:00,WhatsApp,SG,en,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0107,CUS-0153,2026-07-28 00:00,Instagram DM,ID,id,Health complaint,Angry,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0123,CUS-0251,2026-07-28 00:00,Email,ID,en,Where to buy,Neutral,False,2,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0130,CUS-0412,2026-07-28 00:00,Instagram DM,SG,en,Order status,Frustrated,False,1,ORD-01066,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-000,1,2026-08-25T14:24:04Z
ENQ-0150,CUS-0707,2026-07-28 00:00,Instagram DM,SG,sg,Unclear,Angry,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0173,CUS-0633,2026-07-28 00:00,Email,SG,sg,Subscription,Neutral,False,2,,AUTO_ANSWER,0-self-serve,"approved answer sent in sg, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0260,CUS-0497,2026-07-28 00:00,WhatsApp,ID,id,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0264,CUS-0630,2026-07-28 00:00,Marketplace Q&A,SG,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0281,CUS-0034,2026-07-28 00:00,Marketplace Q&A,ID,id,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0288,CUS-0186,2026-07-28 00:00,WhatsApp,MY,en,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0335,CUS-0467,2026-07-28 00:00,Email,SG,sg,Order status,Frustrated,False,1,ORD-01201,AUTO_ANSWER,0-self-serve,"approved answer sent in sg, no human touched it",ANS-000,1,2026-08-25T14:24:04Z
ENQ-0344,CUS-0116,2026-07-28 00:00,Website form,ID,en,Unclear,Neutral,False,2,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0348,CUS-0566,2026-07-28 00:00,WhatsApp,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0360,CUS-0405,2026-07-28 00:00,Website form,SG,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0383,CUS-0183,2026-07-28 00:00,WhatsApp,SG,sg,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in sg, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0430,CUS-0219,2026-07-28 00:00,Email,SG,en,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0451,CUS-0469,2026-07-28 00:00,WhatsApp,SG,sg,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0455,CUS-0347,2026-07-28 00:00,WhatsApp,ID,id,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0521,CUS-0092,2026-07-28 00:00,Instagram DM,ID,id,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0533,CUS-0583,2026-07-28 00:00,WhatsApp,MY,en,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0549,CUS-0590,2026-07-28 00:00,Website form,ID,id,Delivery delay,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0575,CUS-0168,2026-07-28 00:00,Website form,SG,en,Health complaint,Frustrated,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0597,CUS-0506,2026-07-28 00:00,Marketplace Q&A,MY,ms,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0611,CUS-0343,2026-07-28 00:00,Instagram DM,MY,en,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0623,CUS-0424,2026-07-28 00:00,Email,ID,id,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0631,CUS-0794,2026-07-28 00:00,WhatsApp,MY,en,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0696,CUS-0671,2026-07-28 00:00,Marketplace Q&A,MY,ms,Unclassified,Frustrated,False,1,ORD-01734,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0700,CUS-0561,2026-07-28 00:00,WhatsApp,ID,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0737,CUS-0354,2026-07-28 00:00,WhatsApp,ID,id,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0783,CUS-0149,2026-07-28 00:00,Email,ID,id,Ingredients,Neutral,False,1,,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-008,6,2026-08-25T14:24:04Z
ENQ-0799,CUS-0777,2026-07-28 00:00,Email,MY,ms,Unclassified,Frustrated,False,1,ORD-02013,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0819,CUS-0628,2026-07-28 00:00,Email,MY,en,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0824,CUS-0554,2026-07-28 00:00,Website form,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0055,CUS-0515,2026-07-29 00:00,Instagram DM,SG,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0086,CUS-0641,2026-07-29 00:00,WhatsApp,MY,ms,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0099,CUS-0745,2026-07-29 00:00,Website form,ID,id,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0101,CUS-0043,2026-07-29 00:00,WhatsApp,MY,en,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0142,CUS-0676,2026-07-29 00:00,Instagram DM,SG,en,Health complaint,Frustrated,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0153,CUS-0187,2026-07-29 00:00,Email,ID,en,Refund/return,Neutral,False,1,ORD-00483,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0164,CUS-0443,2026-07-29 00:00,Website form,ID,id,Order status,Neutral,False,2,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0196,CUS-0281,2026-07-29 00:00,Website form,ID,en,Order status,Frustrated,False,2,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0199,CUS-0403,2026-07-29 00:00,Email,MY,zh,Ingredients,Neutral,False,1,,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-008,6,2026-08-25T14:24:04Z
ENQ-0220,CUS-0758,2026-07-29 00:00,Marketplace Q&A,SG,en,Order status,Neutral,False,2,ORD-01962,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-000,1,2026-08-25T14:24:04Z
ENQ-0226,CUS-0598,2026-07-29 00:00,Instagram DM,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0240,CUS-0361,2026-07-29 00:00,Marketplace Q&A,ID,id,Delivery delay,Frustrated,False,2,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0252,CUS-0402,2026-07-29 00:00,Marketplace Q&A,SG,en,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
